run,seed,ratio,best_acc,macro_f1,roc_auc,kappa,nc1,nc2,nc3,nc4,melanoma_recall
etf_ham10000_s123,123,50,59.375,0.14217263661925456,0.6312550222233717,0.06176579347056266,12.009676933288574,1.3023729301106608,0.9892900586128235,0.6125166416168213,0.0
etf_ham10000_s42,42,50,53.125,0.20340264814873835,0.7436886766494399,0.11056584097188427,16.03687286376953,1.2442098508384751,0.9663017988204956,0.5798934698104858,0.1538461538461538
etf_ham10000_s7,7,50,54.375,0.23597890069162886,0.7499568029480047,0.22571998075469113,8.001232147216797,1.1937957228309797,0.9485596418380737,0.4174433946609497,0.4135802469135802
